Gene stable ID,SRR3414631,SRR3414630,SRR3414636,SRR3414637,SRR3414635,SRR3414629
ENSMUSG00000021057,0.10909863299084033,0.0767451272320644,0.05575313573349132,0.1158224979949062,0.09257186980096345,0.13703467881316575
ENSMUSG00000058056,10.15674121642182,10.449105388648269,17.478720183939,17.469698070082227,16.788860372560954,11.017167250943947
ENSMUSG00000020911,88.49613113632849,65.17287312013954,6.1860487534023605,5.129752678468596,5.3987549426919434,67.15805404328836
ENSMUSG00000056459,1.5753839735879631,1.6680911363360513,1.4212708511140704,1.5304074890068442,1.5866966118658217,1.61060314239033
ENSMUSG00000022103,0.05260252886857425,0.11277135641256736,0.18433160745558128,0.17459423249106393,0.14878018541967467,0.0906131010945681
ENSMUSG00000030059,8.627519157725743,10.921514542721578,9.648927359819991,11.08944568087478,9.44442512258741,8.23534955894744
ENSMUSG00000027984,12.292760987612121,12.162020595548835,11.741880054155526,10.41707507959227,12.213892569560556,11.418834978544835
ENSMUSG00000020838,0.278098220995927,0.35133086448440515,0.0618743770536251,0.07756655781690175,0.06742017776591974,0.31936794365005067
ENSMUSG00000074358,4.855393106283814,3.136490884527791,1.4220277299930895,1.1509188628905982,1.248447213774862,3.9571133955770312
ENSMUSG00000028943,0.11331963359632742,0.08876619411005122,0.076365114093796,0.05105724917368899,0.07889514158132366,0.09343115060556682
ENSMUSG00000029229,3.0549450642687765,3.478961549581528,3.05416173734824,3.213939057947378,3.043177806126273,3.119857562171497
ENSMUSG00000033454,4.47021365856318,5.423212280711851,6.046292493955579,6.827669604761842,6.069889766206436,4.968325948451999
ENSMUSG00000036962,0.03675563123624769,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000059970,1.7702257020431669,1.536657761681213,3.8691254319700343,3.409584283396628,3.8826351665153256,2.1077585201177276
ENSMUSG00000052397,69.98270975124593,64.78428778139049,15.541570111804614,15.552614681488947,16.083742586045055,55.04029434345637
ENSMUSG00000052221,0.049856135238361264,0.16032529568204726,0.09317738643804048,0.14017012165362477,0.10152887603170523,0.057254776144891134
ENSMUSG00000042476,0.008567695987659925,0.027551642059061,0.03502708726796951,0.035128345129020626,0.02423273985264572,0.024597851072174017
ENSMUSG00000024404,6.101256899524504,6.9576959239280045,6.927550651941119,7.458101959878769,6.618641680443064,5.951327938613818
ENSMUSG00000049504,3.616736790036235,3.82957214435766,2.5686348509055366,2.369385043801223,2.3952053467135594,3.66141232925725
ENSMUSG00000030345,0.06373469195471439,0.017079615317135928,0.0,0.012443720263726992,0.0,0.09759054402122994
ENSMUSG00000051617,0.06393293360931691,0.0,0.0,0.0,0.0,0.024473522898014508
ENSMUSG00000021097,0.7429130062886542,0.6153559260626839,0.592863822371263,0.4962805797958358,0.5834858667499044,0.6416335951003762
ENSMUSG00000030411,2.3122105381945737,1.848345845947891,0.21423115754955543,0.13428154156483593,0.1704429217862296,1.8203761969734442
ENSMUSG00000027983,0.2412189397506479,0.22162910860410256,0.40251799104890335,0.5086388260194104,0.4054573402127324,0.26118631076221294
ENSMUSG00000099974,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000020311,11.066009643112217,13.036486525970544,18.083740341746328,20.65280109983011,17.331974362904088,11.18321894940149
ENSMUSG00000026387,0.014408999758426492,0.0,0.0,0.03375898872809215,0.0163016775191694,0.03309458511760952
ENSMUSG00000051965,0.1754540175449884,0.1692653297754572,0.0,0.0,0.0,0.08059654403801961
ENSMUSG00000023806,0.20416092267007116,0.24188030004114866,0.389092307654067,0.30210357135070587,0.4133294968867464,0.23445836443445853
ENSMUSG00000035762,1.1705566599732342,1.2473180367826113,0.7928732093651836,0.8519628026647227,0.9050783645892848,0.978371872107699
ENSMUSG00000048481,1.294849980958419,1.2424614807954244,1.4514987401585806,1.370065691524691,1.5712593466619191,1.630909224908038
