"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000045629",-0.111332138339031,0.61780024091989,0.096137274142766,0.756515243112832,0.804241147575435
"ENSMUSG00000050677",0.116190523441857,-0.211761288903247,0.0957687024966363,0.756967689393797,0.804658683229599
"ENSMUSG00000068328",0.0292025958076075,6.25670423835826,0.0955929235926689,0.757183805738659,0.804824953493879
"ENSMUSG00000021087",0.108747173690987,0.237417236751804,0.0952267084320804,0.757634759580183,0.805240791067522
"ENSMUSG00000027580",0.0469744358891463,4.55568981564362,0.0950267523732498,0.75788138447096,0.805439412223336
"ENSMUSG00000072774",0.0708703331200335,1.59237081526533,0.0948865820874834,0.758054439309337,0.805549904565511
"ENSMUSG00000020594",-0.0330831943087783,7.91269487959514,0.0948161654886803,0.758141428760608,0.805549904565511
"ENSMUSG00000022336",0.0348470189661169,8.23363360341987,0.0947974005620438,0.758164616061658,0.805549904565511
"ENSMUSG00000029276",-0.049929048682288,3.47517006473425,0.0942302172722531,0.75886665785746,0.806141001232386
"ENSMUSG00000045302",0.0368080135693728,6.15928394496871,0.0942102379801764,0.758891429706532,0.806141001232386
"ENSMUSG00000074129",0.0282980476054487,6.50828596874353,0.0942030543164463,0.75890033726283,0.806141001232386
"ENSMUSG00000061723",-0.0972955197324793,0.468218688736327,0.0932887670728828,0.760037077595697,0.807284891511787
"ENSMUSG00000052713",-0.0367576944356379,4.3316412922746,0.0931516187188737,0.76020811976286,0.807402951431744
"ENSMUSG00000032239",-0.0370642677623739,3.92023373084865,0.0928906221699404,0.760533997642332,0.80768542793574
"ENSMUSG00000042426",0.0300167058575363,5.75681160915301,0.0925985304114345,0.760899294572787,0.808009719585328
"ENSMUSG00000025646",0.0376790708242377,4.02698144047086,0.0925403484453986,0.760972133484561,0.808014052133226
"ENSMUSG00000025498",0.0641760634176726,1.73468298926287,0.0924995305225522,0.761023249012356,0.808014052133226
"ENSMUSG00000032403",-0.0993045397379784,1.52509865438952,0.0915513674409771,0.762214100477881,0.809214702200529
"ENSMUSG00000047789",0.0396284668583666,4.25824753031338,0.0910995939673009,0.762783876392315,0.809706710189933
"ENSMUSG00000032131",-0.106922028143601,0.0599756650668981,0.0910886821528738,0.762797657400204,0.809706710189933
"ENSMUSG00000021716",0.0355992788917929,4.58687120438059,0.0909927061200984,0.762918908548521,0.809771656258768
"ENSMUSG00000045045",-0.0548877341413884,5.41254023692043,0.0909088802710727,0.763024866872383,0.809820361384554
"ENSMUSG00000025207",0.0499444335258897,2.57217845923546,0.0906939194229754,0.763296827458307,0.810045227974923
"ENSMUSG00000090115",0.0514530815194836,3.0290272152799,0.0903185303026675,0.763772600240445,0.810486336889282
"ENSMUSG00000061904",0.0261132181006373,8.94032733934001,0.0901334759878978,0.764007537097676,0.810671830587468
"ENSMUSG00000020153",0.0524742479587701,4.98489987393751,0.089936501245397,0.764257896652072,0.810873658489421
"ENSMUSG00000025531",0.041896876466397,5.82809634595872,0.0893451873574378,0.7650112705016,0.81160910817912
"ENSMUSG00000048118",0.0405023155379115,4.94986755638839,0.0892175113154119,0.765174294648043,0.811718182731372
"ENSMUSG00000046836",0.0340024919875822,6.14726488753,0.0887683160752193,0.76574886511577,0.812263785555567
"ENSMUSG00000006589",0.0409754037530943,6.4527377603765,0.0878387725224883,0.766942901240819,0.813414291709139
"ENSMUSG00000057982",0.0389430016914387,4.60564890673962,0.0878300312562112,0.766954162296185,0.813414291709139
"ENSMUSG00000052681",-0.0353153976769413,7.93277415714987,0.0873343905392971,0.767593678150947,0.814028506541293
"ENSMUSG00000038368",0.03225868706252,5.49845221654639,0.0870918819554714,0.767907301399177,0.814297044770102
"ENSMUSG00000036686",0.0338922158340275,5.56478061602341,0.086879339958891,0.768182561023745,0.814524862762397
"ENSMUSG00000021550",-0.0313489610326461,5.16207194756521,0.0867209199961252,0.768387966219124,0.814643811416876
"ENSMUSG00000003346",-0.0569305411907859,5.63763559440669,0.0866433001765188,0.768488681458208,0.814643811416876
"ENSMUSG00000032952",-0.0669359362708133,1.79138873401709,0.0866341575509013,0.768500547656606,0.814643811416876
"ENSMUSG00000022528",0.0317460864532285,6.9171712920468,0.0866064924841803,0.768536458244925,0.814643811416876
"ENSMUSG00000037134",-0.0337282395474632,4.45820277942205,0.086526421585793,0.768640429261547,0.814689962015481
"ENSMUSG00000032485",-0.0388303282666454,6.4350400699314,0.0861153782316251,0.769174988325692,0.815192454215303
"ENSMUSG00000039771",0.0377174712817726,4.07824711186726,0.0860015050567546,0.769323324621003,0.815285570255148
"ENSMUSG00000046516",-0.0355229374564621,4.67006921049826,0.0859122157841745,0.769439711440102,0.815344816060684
"ENSMUSG00000058704",-0.037094525066887,6.4522518463836,0.0857621597119795,0.769635454618237,0.815488136737283
